USAGE_DATE,FACILITY_NAME,attendance
6/1/2018,PortAventura World,46804
6/1/2018,Tivoli Gardens,20420
6/2/2018,PortAventura World,57940
6/2/2018,Tivoli Gardens,29110
6/3/2018,PortAventura World,44365
6/3/2018,Tivoli Gardens,23727
6/4/2018,PortAventura World,37617
6/4/2018,Tivoli Gardens,15115
6/5/2018,PortAventura World,32438
6/5/2018,Tivoli Gardens,16373
6/6/2018,PortAventura World,28399
6/6/2018,Tivoli Gardens,15831
6/7/2018,PortAventura World,39436
6/7/2018,Tivoli Gardens,16587
6/8/2018,PortAventura World,36459
6/8/2018,Tivoli Gardens,16434
6/9/2018,PortAventura World,52664
6/9/2018,Tivoli Gardens,25776
6/10/2018,PortAventura World,47025
6/10/2018,Tivoli Gardens,34376
6/11/2018,PortAventura World,34984
6/11/2018,Tivoli Gardens,20253
6/12/2018,PortAventura World,34307
6/12/2018,Tivoli Gardens,18715
6/13/2018,PortAventura World,41448
6/13/2018,Tivoli Gardens,21217
6/14/2018,PortAventura World,41817
6/14/2018,Tivoli Gardens,22656
6/15/2018,PortAventura World,42530
6/15/2018,Tivoli Gardens,24449
6/16/2018,PortAventura World,54361
6/16/2018,Tivoli Gardens,28194
6/17/2018,PortAventura World,39359
6/17/2018,Tivoli Gardens,25786
6/18/2018,PortAventura World,37090
6/18/2018,Tivoli Gardens,16283
6/19/2018,PortAventura World,41024
6/19/2018,Tivoli Gardens,19780
6/20/2018,PortAventura World,40455
6/20/2018,Tivoli Gardens,20334
6/21/2018,PortAventura World,42193
6/21/2018,Tivoli Gardens,21564
6/22/2018,PortAventura World,41569
6/22/2018,Tivoli Gardens,19632
6/23/2018,PortAventura World,58821
6/23/2018,Tivoli Gardens,33975
6/24/2018,PortAventura World,49889
6/24/2018,Tivoli Gardens,31151
6/25/2018,PortAventura World,53176
6/25/2018,Tivoli Gardens,24384
6/26/2018,PortAventura World,52876
6/26/2018,Tivoli Gardens,25977
6/27/2018,PortAventura World,50993
6/27/2018,Tivoli Gardens,27053
6/28/2018,PortAventura World,51994
6/28/2018,Tivoli Gardens,27260
6/29/2018,PortAventura World,50478
6/29/2018,Tivoli Gardens,32666
6/30/2018,PortAventura World,58315
6/30/2018,Tivoli Gardens,36005
7/1/2018,PortAventura World,48253
7/1/2018,Tivoli Gardens,28878
7/2/2018,PortAventura World,47915
7/2/2018,Tivoli Gardens,22008
7/3/2018,PortAventura World,46968
7/3/2018,Tivoli Gardens,24406
7/4/2018,PortAventura World,49858
7/4/2018,Tivoli Gardens,25517
7/5/2018,PortAventura World,47216
7/5/2018,Tivoli Gardens,25058
7/6/2018,PortAventura World,43111
7/6/2018,Tivoli Gardens,22756
7/7/2018,PortAventura World,53368
7/7/2018,Tivoli Gardens,33899
7/8/2018,PortAventura World,45474
7/8/2018,Tivoli Gardens,27247
7/9/2018,PortAventura World,47896
7/9/2018,Tivoli Gardens,21876
7/10/2018,PortAventura World,48277
7/10/2018,Tivoli Gardens,24157
7/11/2018,PortAventura World,47003
7/11/2018,Tivoli Gardens,24193
7/12/2018,PortAventura World,49209
7/12/2018,Tivoli Gardens,24531
7/13/2018,PortAventura World,37971
7/13/2018,Tivoli Gardens,19013
7/14/2018,PortAventura World,56394
7/14/2018,Tivoli Gardens,25567
7/15/2018,PortAventura World,37457
7/15/2018,Tivoli Gardens,20521
7/16/2018,PortAventura World,44653
7/16/2018,Tivoli Gardens,19965
7/17/2018,PortAventura World,51942
7/17/2018,Tivoli Gardens,24192
7/18/2018,PortAventura World,52475
7/18/2018,Tivoli Gardens,27635
7/19/2018,PortAventura World,49957
7/19/2018,Tivoli Gardens,25259
7/20/2018,PortAventura World,38078
7/20/2018,Tivoli Gardens,20637
7/21/2018,PortAventura World,59066
7/21/2018,Tivoli Gardens,28007
7/22/2018,PortAventura World,50531
7/22/2018,Tivoli Gardens,26290
7/23/2018,PortAventura World,54214
7/23/2018,Tivoli Gardens,24870
7/24/2018,PortAventura World,58843
7/24/2018,Tivoli Gardens,27505
7/25/2018,PortAventura World,53768
7/25/2018,Tivoli Gardens,27395
7/26/2018,PortAventura World,51283
7/26/2018,Tivoli Gardens,24784
7/27/2018,PortAventura World,42794
7/27/2018,Tivoli Gardens,22053
7/28/2018,PortAventura World,60031
7/28/2018,Tivoli Gardens,28300
7/29/2018,PortAventura World,50327
7/29/2018,Tivoli Gardens,27015
7/30/2018,PortAventura World,53319
7/30/2018,Tivoli Gardens,24944
7/31/2018,PortAventura World,56054
7/31/2018,Tivoli Gardens,27348
8/1/2018,PortAventura World,54946
8/1/2018,Tivoli Gardens,27324
8/2/2018,PortAventura World,52467
8/2/2018,Tivoli Gardens,26237
8/3/2018,PortAventura World,44528
8/3/2018,Tivoli Gardens,21264
8/4/2018,PortAventura World,48875
8/4/2018,Tivoli Gardens,22662
8/5/2018,PortAventura World,44848
8/5/2018,Tivoli Gardens,22506
8/6/2018,PortAventura World,55363
8/6/2018,Tivoli Gardens,24097
8/7/2018,PortAventura World,56383
8/7/2018,Tivoli Gardens,26392
8/8/2018,PortAventura World,72199
8/8/2018,Tivoli Gardens,34996
8/9/2018,PortAventura World,46583
8/9/2018,Tivoli Gardens,26732
8/10/2018,PortAventura World,64516
8/10/2018,Tivoli Gardens,27670
8/11/2018,PortAventura World,61914
8/11/2018,Tivoli Gardens,25711
8/12/2018,PortAventura World,55194
8/12/2018,Tivoli Gardens,24767
8/13/2018,PortAventura World,45891
8/13/2018,Tivoli Gardens,20968
8/14/2018,PortAventura World,61948
8/14/2018,Tivoli Gardens,29767
8/15/2018,PortAventura World,53729
8/15/2018,Tivoli Gardens,27179
8/16/2018,PortAventura World,57342
8/16/2018,Tivoli Gardens,27594
8/17/2018,PortAventura World,53883
8/17/2018,Tivoli Gardens,26386
8/18/2018,PortAventura World,63711
8/18/2018,Tivoli Gardens,29636
8/19/2018,PortAventura World,55109
8/19/2018,Tivoli Gardens,28419
8/20/2018,PortAventura World,57740
8/20/2018,Tivoli Gardens,26799
8/21/2018,PortAventura World,63759
8/21/2018,Tivoli Gardens,29424
8/22/2018,PortAventura World,60196
8/22/2018,Tivoli Gardens,30712
8/23/2018,PortAventura World,77261
8/23/2018,Tivoli Gardens,40414
8/24/2018,PortAventura World,53529
8/24/2018,Tivoli Gardens,27742
8/25/2018,PortAventura World,55503
8/25/2018,Tivoli Gardens,27469
8/26/2018,PortAventura World,54330
8/26/2018,Tivoli Gardens,30153
8/27/2018,PortAventura World,58609
8/27/2018,Tivoli Gardens,27201
8/28/2018,PortAventura World,69559
8/28/2018,Tivoli Gardens,31576
8/29/2018,PortAventura World,43659
8/29/2018,Tivoli Gardens,23412
8/30/2018,PortAventura World,61159
